date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:24	29019/29019	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-715b%22	https://mittrayash.github.io/css/fonts/raleway-regular-webfont.eot?	E:/portfolio/pert/mittrayash.github.io/css/fonts/raleway-regular-webfontd41d.eot	(from https://mittrayash.github.io/css/style.css)
00:10:25	31736/31736	---M--	200	added ('OK')	font/woff	etag:%225e94ba9c-7bf8%22	https://mittrayash.github.io/css/fonts/raleway-regular-webfont.woff	E:/portfolio/pert/mittrayash.github.io/css/fonts/raleway-regular-webfont.woff	(from https://mittrayash.github.io/css/style.css)
00:10:26	7307/7307	---M--	200	added ('OK')	image/gif	etag:%225e94ba9c-1c8b%22	https://mittrayash.github.io/images/bg/loader.gif	E:/portfolio/pert/mittrayash.github.io/images/bg/loader.gif	(from https://mittrayash.github.io/css/style.css)
00:10:26	143021/143021	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e94ba9c-22ead%22	https://mittrayash.github.io/css/fonts/raleway-regular-webfont.svg	E:/portfolio/pert/mittrayash.github.io/css/fonts/raleway-regular-webfont.svg	(from https://mittrayash.github.io/css/style.css)
00:10:26	90736/90736	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e94ba9c-16270%22	https://mittrayash.github.io/css/fonts/raleway-regular-webfont.ttf	E:/portfolio/pert/mittrayash.github.io/css/fonts/raleway-regular-webfont.ttf	(from https://mittrayash.github.io/css/style.css)
00:10:26	20691/20691	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-50d3%22	https://mittrayash.github.io/images/logo.png	E:/portfolio/pert/mittrayash.github.io/images/logo.png	(from https://mittrayash.github.io/css/style.css)
00:10:26	25448/25448	---M--	200	added ('OK')	font/woff2	etag:%225e94ba9c-6368%22	https://mittrayash.github.io/css/fonts/raleway-regular-webfont.woff2	E:/portfolio/pert/mittrayash.github.io/css/fonts/raleway-regular-webfont.woff2	(from https://mittrayash.github.io/css/style.css)
00:10:27	1899/1899	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-76b%22	https://mittrayash.github.io/images/socialmedia.png	E:/portfolio/pert/mittrayash.github.io/images/socialmedia.png	(from https://mittrayash.github.io/css/style.css)
00:10:27	231/231	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-e7%22	https://mittrayash.github.io/images/close.png	E:/portfolio/pert/mittrayash.github.io/images/close.png	(from https://mittrayash.github.io/css/style.css)
00:10:28	290/290	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-122%22	https://mittrayash.github.io/images/next-bg.png	E:/portfolio/pert/mittrayash.github.io/images/next-bg.png	(from https://mittrayash.github.io/css/style.css)
00:10:28	233/233	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-e9%22	https://mittrayash.github.io/images/prev-bg.png	E:/portfolio/pert/mittrayash.github.io/images/prev-bg.png	(from https://mittrayash.github.io/css/style.css)
00:10:29	648/648	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-288%22	https://mittrayash.github.io/images/moreimages.png	E:/portfolio/pert/mittrayash.github.io/images/moreimages.png	(from https://mittrayash.github.io/css/style.css)
00:10:30	105/105	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-69%22	https://mittrayash.github.io/images/mobilemenu.png	E:/portfolio/pert/mittrayash.github.io/images/mobilemenu.png	(from https://mittrayash.github.io/css/style.css)
